"","Country","FitW","FitW_score","IoEF","IoEF_score","PFI","PFI_score","DI","DI_score","FitW_or","IoEF_or","PFI_or","DI_or"
"1","NORWAY",5,100,4,76.9,5,95.18,5,9.81,"5_veryGood","4_good","5_veryGood","5_veryGood"
"2","IRELAND",5,97,5,82,5,89.91,5,9.05,"5_veryGood","5_veryGood","5_veryGood","5_veryGood"
"3","SWEDEN",5,100,4,77.5,5,88.15,5,9.26,"5_veryGood","4_good","5_veryGood","5_veryGood"
"4","FINLAND",5,100,4,77.1,5,87.94,5,9.2,"5_veryGood","4_good","5_veryGood","5_veryGood"
"5","DENMARK",5,97,4,77.6,5,89.48,5,9.15,"5_veryGood","4_good","5_veryGood","5_veryGood"
"6","SWITZERLAND",5,96,5,83.8,4,84.4,5,8.83,"5_veryGood","5_veryGood","4_good","5_veryGood"
"7","NEW ZEALAND",5,99,4,78.9,4,84.23,5,9.25,"5_veryGood","4_good","4_good","5_veryGood"
"8","NETHERLANDS",5,97,4,78,5,87,5,8.96,"5_veryGood","4_good","5_veryGood","5_veryGood"
"9","LUXEMBOURG",5,97,4,78.4,4,81.98,5,8.68,"5_veryGood","4_good","4_good","5_veryGood"
"10","ESTONIA",5,94,4,78.6,5,85.31,4,7.84,"5_veryGood","4_good","5_veryGood","4_good"
"11","CANADA",5,98,4,73.7,4,83.53,5,9.24,"5_veryGood","4_good","4_good","5_veryGood"
"12","TAIWAN",5,94,5,80.7,4,75.54,5,8.94,"5_veryGood","5_veryGood","4_good","5_veryGood"
"13","ICELAND",5,94,4,72.2,4,83.19,5,9.37,"5_veryGood","4_good","4_good","5_veryGood"
"14","GERMANY",5,94,4,73.7,4,81.91,5,8.67,"5_veryGood","4_good","4_good","5_veryGood"
"15","PORTUGAL",5,96,3,69.5,4,84.6,4,7.9,"5_veryGood","3_medium","4_good","4_good"
"16","AUSTRALIA",5,95,4,74.8,4,78.24,5,8.96,"5_veryGood","4_good","4_good","5_veryGood"
"17","CZECH REPUBLIC",5,92,4,71.9,4,83.58,4,7.67,"5_veryGood","4_good","4_good","4_good"
"18","LITHUANIA",5,89,4,72.2,5,86.79,4,7.13,"5_veryGood","4_good","5_veryGood","4_good"
"19","LATVIA",5,88,4,72.8,4,83.27,4,7.24,"5_veryGood","4_good","4_good","4_good"
"20","UNITED KINGDOM",5,93,3,69.9,4,78.51,5,8.54,"5_veryGood","3_medium","4_good","5_veryGood"
"21","AUSTRIA",5,93,4,71.1,4,77.3,5,8.16,"5_veryGood","4_good","4_good","5_veryGood"
"22","SLOVAKIA",5,90,3,69,4,83.22,4,6.97,"5_veryGood","3_medium","4_good","4_good"
"23","BELGIUM",5,96,3,67.1,4,76.47,4,7.51,"5_veryGood","3_medium","4_good","4_good"
"24","COSTA RICA",5,91,3,66.5,4,80.2,5,8.16,"5_veryGood","3_medium","4_good","5_veryGood"
"25","URUGUAY",5,96,4,70.2,4,70.33,5,8.61,"5_veryGood","4_good","4_good","5_veryGood"
"26","SLOVENIA",5,95,3,68.5,4,70.59,4,7.54,"5_veryGood","3_medium","4_good","4_good"
"27","CYPRUS",5,92,4,72.3,3,68.62,4,7.56,"5_veryGood","4_good","3_medium","4_good"
"28","FRANCE",5,89,3,63.6,4,78.72,4,7.99,"5_veryGood","3_medium","4_good","4_good"
"29","SPAIN",5,90,3,65,4,75.37,5,8.12,"5_veryGood","3_medium","4_good","5_veryGood"
"30","JAPAN",5,96,3,69.3,3,63.95,5,8.13,"5_veryGood","3_medium","3_medium","5_veryGood"
"31","SOUTH KOREA",5,83,4,73.7,4,70.83,5,8.01,"5_veryGood","4_good","4_good","5_veryGood"
"32","CHILE",5,94,4,71.1,3,60.09,5,8.28,"5_veryGood","4_good","3_medium","5_veryGood"
"33","UNITED STATES",5,83,4,70.6,4,71.22,4,7.92,"5_veryGood","4_good","4_good","4_good"
"34","ITALY",5,90,3,62.3,4,72.05,4,7.74,"5_veryGood","3_medium","4_good","4_good"
"35","JAMAICA",5,80,3,68.1,4,75.89,4,7.13,"5_veryGood","3_medium","4_good","4_good"
"36","MAURITIUS",5,85,4,70.6,3,65.56,5,8.14,"5_veryGood","4_good","3_medium","5_veryGood"
"37","CROATIA",5,84,3,66.4,4,71.95,4,6.5,"5_veryGood","3_medium","4_good","4_good"
"38","TRINIDAD AND TOBAGO",5,82,2,59.5,4,76.54,4,7.16,"5_veryGood","2_low","4_good","4_good"
"39","MALTA",5,89,3,67.5,3,59.76,4,7.68,"5_veryGood","3_medium","3_medium","4_good"
"40","POLAND",5,81,3,67.7,3,67.66,4,6.85,"5_veryGood","3_medium","3_medium","4_good"
"41","ROMANIA",5,83,3,64.5,3,69.04,4,6.4,"5_veryGood","3_medium","3_medium","4_good"
"42","NAMIBIA",5,77,2,57.7,4,80.91,4,6.52,"5_veryGood","2_low","4_good","4_good"
"43","SOUTH AFRICA",5,79,2,55.7,4,78.6,4,7.05,"5_veryGood","2_low","4_good","4_good"
"44","BULGARIA",5,79,3,69.3,3,62.98,4,6.71,"5_veryGood","3_medium","3_medium","4_good"
"45","PANAMA",5,83,3,63.8,3,63.67,4,7.18,"5_veryGood","3_medium","3_medium","4_good"
"46","ARGENTINA",5,85,2,51,4,73.36,4,6.95,"5_veryGood","2_low","4_good","4_good"
"47","NORTH MACEDONIA",3,68,3,63.7,4,74.35,2,5.89,"3_medium","3_medium","4_good","2_low"
"48","MONGOLIA",5,84,3,61.7,3,59.33,4,6.48,"5_veryGood","3_medium","3_medium","4_good"
"49","ISRAEL",5,77,3,68.9,3,57.57,4,7.84,"5_veryGood","3_medium","3_medium","4_good"
"50","TIMOR-LESTE",5,72,1,47.2,4,84.49,4,7.06,"5_veryGood","1_veryLow","4_good","4_good"
